#  array      clh        hclh       hticket    mcs        mp         mutex      spinlock   ticket     ttas       
1  6713857    6907926    5240883    6589696    6903217    0          7014113    7142395    7164089    7045838    
2  10666730   10809733   7397311    11099308   11528109   2096399    11016134   12309582   12242946   11825871   
3  14671019   15050486   9970301    15795044   16397289   3501434    15118246   17738890   17614180   16838346   
4  18528820   19161474   12490974   20546228   20989284   3798391    18789430   23114250   22746736   21850160   
5  21608536   22345586   
