#  array      clh        hclh       hticket    mcs        mp         mutex      spinlock   ticket     ttas       
1  5633100    6395391    5406873    6061505    6406150    0          6518760    6512340    6694440    6416100    
2  6172490    6730116    4820670    6854428    7081131    1995070    4915611    7893430    7665301    6720750    
3  7157266    8562240    5815008    8021746    8342463    3299610    4710920    9595970    8961300    7961130    
4  8069907    10270300   6642500    8901724    9347240    3450090    2443341    10843914   9949614    8952763    
5  8451010    10635200   7179410    9704563    9439440    4696910    2477512    11354700   9968324    9267262    
6  9379170    11380765   7638962    10283233   10018830   5708340    2846970    11811200   10149200   10077400   
7  9562180    12008469   8249580    10721900   10423000   5937220    3887809    12017457   10358299   10104000   
8  10204600   12716060   8896000    11319839   10852035   7074750    3103180    12372203   10647089   10418105   
